설치개수,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
1,경기도 성남시 중원구 박석로33번길15,경기도 성남시 중원구 상대원동 1526,37.4357495,127.1641204,2018.8.16
2,경기도 성남시 중원구 상대원동 1542,경기도 성남시 중원구 상대원동 1542,37.4353901,127.1633739,2018.8.16
1,경기도 성남시 중원구 희망로367번길32-6,경기도 성남시 중원구 상대원동 3389,37.4388071,127.1549291,2018.8.16
1,경기도 성남시 중원구 희망로375번길14-9,경기도 성남시 중원구 상대원동 3091,37.4394977,127.1573486,2018.8.16
1,경기도 성남시 중원구 희망로383번길15-2,경기도 성남시 중원구 상대원동 3072,37.4396326,127.1575636,2018.8.16
1,경기도 성남시 중원구 박석로91번길13-1,경기도 성남시 중원구 상대원동 2290,37.4398049,127.163485,2018.8.16
2,경기도 성남시 중원구 박석로 51,경기도 성남시 중원구 상대원동 1232,37.437414,127.1658415,2018.8.16
1,경기도 성남시 중원구 은행로5번길 26,경기도 성남시 중원구 은행동 1609,37.4565267,127.1640633,2018.8.16
1,경기도 성남시 중원구 은행로5번길 22,경기도 성남시 중원구 은행동 1613-2,37.4561937,127.1637574,2018.8.16
1,경기도 성남시 중원구 은행로7번길 21,경기도 성남시 중원구 은행동 1613,37.4562746,127.1639271,2018.8.16
1,경기도 성남시 중원구 은행동 2281,경기도 성남시 중원구 은행동 2281,37.4523595,127.1673996,2018.8.16
1,경기도 성남시 중원구 자혜로57번길19-8,경기도 성남시 중원구 은행동 2279,37.4520801,127.1674555,2018.8.16
1,경기도 성남시 중원구 자혜로57번길17,경기도 성남시 중원구 은행동 2290-1,37.451693,127.167206,2018.8.16
1,경기도 성남시 중원구 자혜로57번길15-10,경기도 성남시 중원구 은행동 2295,37.4520807,127.1670147,2018.8.16
1,경기도 성남시 중원구 자혜로57번길15,경기도 성남시 중원구 은행동 2305-1,37.4516392,127.1670138,2018.8.16
1,경기도 성남시 중원구 은행로5번길 8,경기도 성남시 중원구 은행동 1690,37.4552488,127.1629529,2018.8.16
