,gid,lon,lat,인구_전체,인구_여자,인구_남자,유소년_전체,유소년_여자,유소년_남자,고령_전체,고령_여자,고령_남자,건축물수,공동주택수,단독주택수,사용승인일,cctv,보안등,security,security_encoded
1283,ㅼㅤㄱㅝㅀ684385,127.1433187,37.44559297,403.0,204.0,199.0,42.0,23.0,19.0,65.0,38.0,27.0,30.0,13.0,13.0,1990.86,1,8,9,1
1292,ㅼㅤㄱㅝㅀ678342,127.1367229,37.40681384,181.0,92.0,89.0,11.0,7.0,0.0,35.0,20.0,15.0,7.0,1.0,5.0,2002.29,1,4,5,1
1298,ㅼㅤㄱㅝㅀ640302,127.0939805,37.37061968,74.0,34.0,40.0,0.0,0.0,0.0,18.0,7.0,11.0,9.0,4.0,5.0,1996.89,1,4,5,1
1303,ㅼㅤㄱㅝㅀ675370,127.1332101,37.43204147,469.0,222.0,247.0,16.0,9.0,7.0,125.0,70.0,55.0,44.0,10.0,27.0,1994.89,0,12,12,1
1308,ㅼㅤㄱㅝㅀ675301,127.1335131,37.3698474,138.0,72.0,66.0,20.0,10.0,10.0,17.0,9.0,8.0,7.0,4.0,3.0,2002.71,0,0,0,0
1312,ㅼㅤㄱㅝㅀ708393,127.1704192,37.45288262,504.0,235.0,269.0,47.0,29.0,18.0,91.0,47.0,44.0,44.0,19.0,25.0,1992.07,0,8,8,1
1321,ㅼㅤㄱㅝㅀ704396,127.1658847,37.45557399,320.0,159.0,161.0,15.0,8.0,7.0,68.0,42.0,26.0,24.0,18.0,4.0,1993.96,1,3,4,1
1324,ㅼㅤㄱㅝㅀ691316,127.1515205,37.38342254,158.0,74.0,84.0,27.0,10.0,17.0,19.0,11.0,8.0,14.0,2.0,7.0,2004.79,0,1,1,1
1325,ㅼㅤㄱㅝㅀ692376,127.1524002,37.43750769,48.0,26.0,22.0,0.0,0.0,0.0,12.0,7.0,0.0,9.0,1.0,8.0,1987.67,0,8,8,1
1328,ㅼㅤㄱㅝㅀ688382,127.1478534,37.44290246,477.0,239.0,238.0,25.0,13.0,12.0,91.0,51.0,40.0,49.0,7.0,36.0,1993.16,1,7,8,1
1330,ㅼㅤㄱㅝㅀ674384,127.132018,37.44465696,193.0,101.0,92.0,18.0,12.0,6.0,53.0,31.0,22.0,17.0,2.0,15.0,1993.35,0,4,4,1
1331,ㅼㅤㄱㅝㅀ646302,127.1007567,37.37064274,183.0,101.0,82.0,11.0,6.0,0.0,36.0,23.0,13.0,13.0,7.0,1.0,2007.23,0,1,1,1
1333,ㅼㅤㄱㅝㅀ625328,127.0769082,37.39399567,82.0,42.0,40.0,7.0,0.0,0.0,16.0,7.0,9.0,4.0,3.0,1.0,2010.75,0,0,0,0
1337,ㅼㅤㄱㅝㅀ718384,127.1817598,37.44480136,61.0,27.0,34.0,6.0,0.0,0.0,14.0,0.0,9.0,4.0,2.0,1.0,1996.75,0,1,1,1
1349,ㅼㅤㄱㅝㅀ672381,127.1297704,37.44194583,581.0,281.0,300.0,29.0,16.0,13.0,169.0,89.0,80.0,91.0,2.0,86.0,1991.36,0,17,17,1
1355,ㅼㅤㄱㅝㅀ703375,127.1648385,37.43664224,441.0,217.0,224.0,39.0,18.0,21.0,69.0,36.0,33.0,36.0,8.0,21.0,1994.33,1,10,11,1
